feature,median_importance,q1,q3,iqr
Non-mask Protective Behaviour Score,0.05215764,0.048797086,0.05519552,0.0063984357
Survey Week,0.024867628,0.023930248,0.02612852,0.0021982715
Very Willing to Self-isolate,0.021203918,0.019665383,0.022801094,0.003135711
Very Unwilling to Self-isolate,0.019364543,0.017503526,0.02186588,0.004362354
Willing to Self-isolate if Symptomatic,0.012710081,0.011892282,0.013355808,0.0014635259
Comorbidity Not Disclosed,0.012358761,0.011609101,0.013721814,0.0021127136
WCRex2_No confidence at all,0.012341029,0.011832194,0.012866514,0.0010343194
Uncertain NHS Confidence,0.012303604,0.011541456,0.013148781,0.0016073249
Not Working,0.011684441,0.0111256465,0.012176288,0.0010506418
Worry Control Not Disclosed,0.011550285,0.010237663,0.013181901,0.0029442376
i9_health_Not sure,0.011435846,0.010742152,0.012350736,0.0016085841
PHQ4_2_Prefer not to say,0.011381741,0.009885216,0.012410122,0.0025249058
i11_health_Not sure,0.0113167,0.010379562,0.012878653,0.0024990905
i11_health_Somewhat unwilling,0.011038556,0.010312954,0.012040868,0.0017279144
WCRex2_A lot of confidence,0.0110322265,0.010591178,0.011513614,0.0009224359
WCRex1_Very well,0.011009412,0.010392783,0.011759566,0.0013667829
employment_status_Retired,0.010929379,0.010301928,0.011333008,0.0010310803
r1_1,0.010717933,0.010219461,0.011080092,0.00086063053
employment_status_Unemployed,0.010566073,0.009999476,0.011028266,0.0010287892
age,0.010553879,0.010227881,0.011007991,0.0007801093
WCRex1_Very badly,0.010479668,0.010060549,0.010787436,0.000726887
PHQ4_1_Nearly every day,0.010404749,0.009795239,0.011194432,0.001399193
PHQ4_2_Nearly every day,0.010307934,0.009733359,0.010977445,0.0012440858
r1_2,0.010277448,0.009734208,0.010808122,0.0010739146
household_size,0.0102177365,0.009887077,0.010672336,0.00078525953
i2_health,0.010076204,0.009723372,0.010305733,0.0005823616
i11_health_Somewhat willing,0.010029981,0.009643404,0.0104868105,0.00084340665
WCRex2_Not very much confidence,0.009893443,0.00953885,0.010286879,0.000748029
PHQ4_2_NA,0.009827843,0.009073043,0.010430094,0.0013570506
PHQ4_2_Not at all,0.00978774,0.00933763,0.010326171,0.0009885412
cantril_ladder,0.009767223,0.00938713,0.010065082,0.00067795254
PHQ4_3_Prefer not to say,0.009762399,0.008547296,0.011361022,0.0028137257
WCRex1_Somewhat badly,0.009735885,0.009392776,0.010146904,0.0007541282
PHQ4_4_Nearly every day,0.009734285,0.009285006,0.010321198,0.0010361923
PHQ4_4_NA,0.009675774,0.008897493,0.010683405,0.0017859126
PHQ4_3_Nearly every day,0.009565929,0.009173497,0.010128727,0.00095523056
employment_status_Part time employment,0.009505692,0.009157388,0.009875902,0.00071851443
PHQ4_4_Not at all,0.009495279,0.009038437,0.009896545,0.0008581076
PHQ4_3_NA,0.00943628,0.008848432,0.010519928,0.0016714958
PHQ4_4_Several days,0.009284552,0.008791311,0.009649066,0.00085775554
PHQ4_3_Not at all,0.0091767395,0.008821601,0.0096683465,0.00084674545
PHQ4_1_Not at all,0.009161206,0.008809859,0.009523738,0.00071387924
PHQ4_1_Prefer not to say,0.009105165,0.008025526,0.010279564,0.0022540381
PHQ4_2_Several days,0.009091125,0.008778881,0.00951046,0.000731579
PHQ4_1_NA,0.008876462,0.008484046,0.009368061,0.0008840151
PHQ4_3_Several days,0.008820215,0.008423181,0.009079703,0.0006565219
PHQ4_1_Several days,0.008570749,0.008231808,0.00891917,0.0006873617
d1_comorbidities_Yes,0.0084691495,0.0081115775,0.008802752,0.00069117453
gender_Male,0.008465594,0.008076597,0.008798211,0.0007216139
WCRex1_Somewhat well,0.008167239,0.007840032,0.008450432,0.0006104
